active,certifications,created_date,date_of_hire,email,employee_id,first_name,full_name,group,last_name,personnel_id,phone_mobile,phone_work,role,shift,station,unit,updated_date,user_id,username
True,"[""FIRE_INSTRUCTOR""]",2025-09-15 10:46:13,2003-06-04,rfox@firedepartment.org,FD5431,Ryan,Ryan Fox,ADMIN,Fox,FP-121f6213-b53c-4993-909a-dfe4d66b4df2,(206) 355-6741,(206) 929-8807,PARAMEDIC,A,STATION_32,ENGINE 032,2025-09-15 10:46:13,rfox,rfox
True,"[""FIRE_INVESTIGATOR"", ""HAZMAT"", ""TECH_REScue""]",2025-09-15 10:46:13,2005-09-15,dthomas@firedepartment.org,FD3696,Diana,Diana Thomas,ADMIN,Thomas,FP-15892381-4e6d-4927-88ef-cd6378aaa4e3,(425) 558-7305,(425) 744-8578,PARAMEDIC,A,STATION_13,AID 013,2025-09-15 10:46:13,dthomas,dthomas
True,"[""EMT""]",2025-09-15 10:46:13,2012-01-10,ndavis@firedepartment.org,FD2012,Nicholas,Nicholas Davis,TRAINING,Davis,FP-11c8b9b9-408f-4c8e-af8e-9c29eaeb7772,(360) 469-2664,(425) 464-9720,FIREFIGHTER,A,STATION_36,MEDIC 036,2025-09-15 10:46:13,ndavis,ndavis
True,"[""EMT"", ""HAZMAT"", ""TECH_REScue""]",2025-09-15 10:46:13,2005-03-28,mblevins@firedepartment.org,FD2194,Michael,Michael Blevins,OPERATIONS,Blevins,FP-92aad683-8667-4b18-9599-380bc5793507,(564) 396-2900,(206) 306-4950,PARAMEDIC,C,STATION_02,ENGINE 002,2025-09-15 10:46:13,mblevins,mblevins
True,"[""TECH_REScue""]",2025-09-15 10:46:13,2023-04-15,lfernandez@firedepartment.org,FD2186,Luis,Luis Fernandez,TRAINING,Fernandez,FP-54287163-9f53-4bf3-8816-c3569af3d67d,(206) 925-3354,(206) 337-3170,PARAMEDIC,C,STATION_07,MEDIC 007,2025-09-15 10:46:13,lfernandez,lfernandez
True,"[""EMT"", ""FIRE_INVESTIGATOR"", ""PARAMEDIC""]",2025-09-15 10:46:13,2022-01-30,tmullins@firedepartment.org,FD8539,Tara,Tara Mullins,TRAINING,Mullins,FP-6ead54ee-b599-4cbb-8bc8-c03893ac4c7d,(206) 436-2312,(206) 295-9954,FIREFIGHTER,B,STATION_37,AID 037,2025-09-15 10:46:13,tmullins,tmullins
True,"[""FIRE_INVESTIGATOR"", ""TECH_REScue""]",2025-09-15 10:46:13,2019-12-17,ewalker@firedepartment.org,FD9153,Erin,Erin Walker,OPERATIONS,Walker,FP-a86f432d-e568-4c62-aebd-cf8be463008b,(425) 889-3935,(425) 292-5192,PARAMEDIC,B,STATION_08,ENGINE 008,2025-09-15 10:46:13,ewalker,ewalker
True,"[""HAZMAT""]",2025-09-15 10:46:13,2018-01-19,zschmitt@firedepartment.org,FD2761,Zachary,Zachary Schmitt,OPERATIONS,Schmitt,FP-4f96d638-05ac-4b6b-8588-81a7b315151b,(206) 528-7387,(206) 554-6932,CAPTAIN,C,STATION_06,LADDER 006,2025-09-15 10:46:13,zschmitt,zschmitt
True,"[""FIRE_INVESTIGATOR""]",2025-09-15 10:46:13,2002-07-18,bthomas@firedepartment.org,FD6619,Brandon,Brandon Thomas,OPERATIONS,Thomas,FP-bda728ae-186b-49ef-b19e-5ae9811ec74e,(206) 827-9425,(360) 886-1330,FIREFIGHTER,A,STATION_03,LADDER 003,2025-09-15 10:46:13,bthomas,bthomas
True,"[""FIRE_INVESTIGATOR"", ""HAZMAT"", ""PARAMEDIC""]",2025-09-15 10:46:13,2021-11-24,malexander@firedepartment.org,FD7345,Michele,Michele Alexander,TRAINING,Alexander,FP-2c76c89c-b3b0-4acb-beba-19edc7d936af,(206) 585-1068,(206) 556-3358,FIREFIGHTER,B,STATION_22,ENGINE 022,2025-09-15 10:46:13,malexander,malexander
True,"[""TECH_REScue""]",2025-09-15 10:46:13,2002-04-29,ttorres@firedepartment.org,FD8848,Tiffany,Tiffany Torres,PREVENTION,Torres,FP-4238ce66-defe-473c-8569-ccb11c6a8fd4,(206) 408-2951,(425) 939-2879,CAPTAIN,A,STATION_37,AID 037,2025-09-15 10:46:13,ttorres,ttorres
True,"[""PARAMEDIC""]",2025-09-15 10:46:13,2008-09-07,clopez@firedepartment.org,FD4157,Charles,Charles Lopez,PREVENTION,Lopez,FP-048399fe-e8ed-4630-9f37-132bfbbb17e0,(425) 344-8722,(564) 746-3536,LIEUTENANT,A,STATION_29,ENGINE 029,2025-09-15 10:46:13,clopez,clopez
True,"[""FIRE_INVESTIGATOR""]",2025-09-15 10:46:13,2002-04-23,jmyers@firedepartment.org,FD5627,Jennifer,Jennifer Myers,TRAINING,Myers,FP-741e4ae7-18d3-46bf-825b-270a07a46b00,(425) 630-7381,(206) 396-7932,LIEUTENANT,B,STATION_15,ENGINE 015,2025-09-15 10:46:13,jmyers,jmyers
True,"[""HAZMAT"", ""PARAMEDIC""]",2025-09-15 10:46:13,2002-08-09,lsmith@firedepartment.org,FD3939,Linda,Linda Smith,TRAINING,Smith,FP-3d0e605d-7aad-4906-8b56-fd91054dbc35,(425) 509-3149,(206) 344-2288,BATTALION_CHIEF,B,STATION_37,ENGINE 037,2025-09-15 10:46:13,lsmith,lsmith
True,"[""EMT"", ""PARAMEDIC""]",2025-09-15 10:46:13,2015-12-26,sjohnson@firedepartment.org,FD4172,Steven,Steven Johnson,OPERATIONS,Johnson,FP-3f2fa4c5-2b55-4436-bcb9-95fbf191b2d4,(206) 627-3509,(425) 280-6854,FIREFIGHTER,B,STATION_09,LADDER 009,2025-09-15 10:46:13,sjohnson,sjohnson
True,"[""FIRE_INSTRUCTOR""]",2025-09-15 10:46:13,2007-02-24,jjohnson@firedepartment.org,FD6615,James,James Johnson,ADMIN,Johnson,FP-b6ee36c4-2aa8-487d-bdde-870409d1fb76,(360) 339-3795,(206) 438-4474,FIREFIGHTER,C,STATION_17,MEDIC 017,2025-09-15 10:46:13,jjohnson,jjohnson
True,"[""EMT"", ""FIRE_INSTRUCTOR""]",2025-09-15 10:46:13,2019-08-08,rphillips@firedepartment.org,FD3833,Regina,Regina Phillips,PREVENTION,Phillips,FP-96c228a4-60bd-433c-afb3-e3cb44713831,(206) 768-9075,(425) 379-3295,FIREFIGHTER,C,STATION_01,AID 001,2025-09-15 10:46:13,rphillips,rphillips
True,"[""EMT"", ""FIRE_INVESTIGATOR""]",2025-09-15 10:46:13,2005-07-01,tcampbell@firedepartment.org,FD9852,Troy,Troy Campbell,PREVENTION,Campbell,FP-20ee9a9d-e303-408a-8262-0ce97cc12a68,(206) 204-7382,(206) 904-8456,PARAMEDIC,B,STATION_33,ENGINE 033,2025-09-15 10:46:13,tcampbell,tcampbell
True,"[""EMT"", ""FIRE_INSTRUCTOR""]",2025-09-15 10:46:13,2021-09-01,jburnett@firedepartment.org,FD9482,Julie,Julie Burnett,OPERATIONS,Burnett,FP-bb859057-d77e-40d2-96bc-e15c91736cb6,(206) 374-6665,(206) 894-6468,BATTALION_CHIEF,B,STATION_04,AID 004,2025-09-15 10:46:13,jburnett,jburnett
True,"[""PARAMEDIC""]",2025-09-15 10:46:13,2022-07-22,bnelson@firedepartment.org,FD4965,Benjamin,Benjamin Nelson,ADMIN,Nelson,FP-2bb7395f-82a0-4f40-bd22-965bf2f318ea,(425) 515-1952,(425) 770-5185,BATTALION_CHIEF,B,STATION_21,LADDER 021,2025-09-15 10:46:13,bnelson,bnelson
True,"[""FIRE_INSTRUCTOR"", ""PARAMEDIC"", ""TECH_REScue""]",2025-09-15 10:46:13,2004-05-11,kpotter@firedepartment.org,FD5493,Kristin,Kristin Potter,PREVENTION,Potter,FP-6878325a-0baa-4b10-8f14-44601ed356f8,(425) 523-5219,(206) 720-2156,CAPTAIN,C,STATION_19,AID 019,2025-09-15 10:46:13,kpotter,kpotter
True,"[""FIRE_INSTRUCTOR"", ""HAZMAT""]",2025-09-15 10:46:13,2018-08-10,lmartin@firedepartment.org,FD2358,Lisa,Lisa Martin,ADMIN,Martin,FP-5bdc0514-8d20-43ad-adf7-6c0a7e5399b5,(206) 530-6024,(360) 581-1858,CAPTAIN,A,STATION_18,AID 018,2025-09-15 10:46:13,lmartin,lmartin
True,"[""FIRE_INSTRUCTOR"", ""TECH_REScue""]",2025-09-15 10:46:13,2006-03-03,kblackburn@firedepartment.org,FD6356,Kimberly,Kimberly Blackburn,TRAINING,Blackburn,FP-c7e28000-7949-4828-a44f-db94e6939e0b,(206) 787-5030,(206) 350-8968,PARAMEDIC,B,STATION_34,ENGINE 034,2025-09-15 10:46:13,kblackburn,kblackburn
True,"[""EMT"", ""FIRE_INSTRUCTOR"", ""TECH_REScue""]",2025-09-15 10:46:13,2002-06-18,mdeleon@firedepartment.org,FD9797,Mario,Mario Deleon,PREVENTION,Deleon,FP-1cbf8e4f-ba2e-43f3-b707-24705ce33c2f,(425) 627-8657,(425) 320-5465,BATTALION_CHIEF,C,STATION_09,AID 009,2025-09-15 10:46:13,mdeleon,mdeleon
True,"[""FIRE_INSTRUCTOR"", ""PARAMEDIC"", ""TECH_REScue""]",2025-09-15 10:46:13,2010-04-30,lrobinson@firedepartment.org,FD2353,Leslie,Leslie Robinson,OPERATIONS,Robinson,FP-403cfcaa-532c-407f-b78e-3dc4b89754bf,(206) 627-9018,(206) 886-1072,LIEUTENANT,A,STATION_35,ENGINE 035,2025-09-15 10:46:13,lrobinson,lrobinson
True,"[""FIRE_INSTRUCTOR""]",2025-09-15 10:46:13,2021-01-04,bhoward@firedepartment.org,FD7355,Brianna,Brianna Howard,TRAINING,Howard,FP-7ae2daf0-2b86-4cda-b064-197bfca0850c,(425) 433-8594,(564) 902-1602,LIEUTENANT,B,STATION_36,MEDIC 036,2025-09-15 10:46:13,bhoward,bhoward
True,"[""HAZMAT"", ""TECH_REScue""]",2025-09-15 10:46:13,2016-07-05,tblake@firedepartment.org,FD1963,Tyler,Tyler Blake,OPERATIONS,Blake,FP-96cc46cf-dfb8-4478-b207-64d08d1b5ecf,(425) 819-2336,(206) 987-6400,CAPTAIN,B,STATION_08,LADDER 008,2025-09-15 10:46:13,tblake,tblake
True,"[""FIRE_INSTRUCTOR"", ""HAZMAT""]",2025-09-15 10:46:13,2006-08-13,droberts@firedepartment.org,FD7593,David,David Roberts,PREVENTION,Roberts,FP-5bf8edaa-cdc9-4bb8-852b-f845fe8e30aa,(360) 726-6483,(425) 893-1886,BATTALION_CHIEF,B,STATION_04,AID 004,2025-09-15 10:46:13,droberts,droberts
True,"[""PARAMEDIC""]",2025-09-15 10:46:13,2008-08-27,jmaddox@firedepartment.org,FD7178,Jennifer,Jennifer Maddox,ADMIN,Maddox,FP-6ea16dae-0256-44b1-a8e8-7cb4d85ddf32,(425) 670-8915,(425) 742-7684,LIEUTENANT,A,STATION_07,ENGINE 007,2025-09-15 10:46:13,jmaddox,jmaddox
True,"[""FIRE_INSTRUCTOR"", ""HAZMAT""]",2025-09-15 10:46:13,2008-11-17,dmiller@firedepartment.org,FD5134,Donald,Donald Miller,ADMIN,Miller,FP-426e92c3-6b59-481a-bd32-6c6b5c25341c,(360) 202-9761,(206) 523-5491,BATTALION_CHIEF,A,STATION_31,AID 031,2025-09-15 10:46:13,dmiller,dmiller
True,"[""EMT"", ""FIRE_INSTRUCTOR""]",2025-09-15 10:46:13,2008-04-19,aschultz@firedepartment.org,FD2567,Ashley,Ashley Schultz,ADMIN,Schultz,FP-6ca1995e-10f3-4775-a400-b80622179dc3,(360) 458-5557,(564) 374-8187,FIREFIGHTER,B,STATION_09,ENGINE 009,2025-09-15 10:46:13,aschultz,aschultz
True,"[""PARAMEDIC""]",2025-09-15 10:46:13,2022-01-10,egraham@firedepartment.org,FD5133,Eric,Eric Graham,PREVENTION,Graham,FP-155ea4df-1321-4b3a-b764-c8c762057cf5,(206) 476-9215,(360) 858-1960,PARAMEDIC,A,STATION_25,MEDIC 025,2025-09-15 10:46:13,egraham,egraham
True,"[""EMT"", ""TECH_REScue""]",2025-09-15 10:46:13,2011-05-07,jgarner@firedepartment.org,FD7332,Jason,Jason Garner,ADMIN,Garner,FP-e029887c-41d7-4987-9eb0-7ca73448dbc5,(206) 732-3789,(206) 786-2043,FIREFIGHTER,C,STATION_34,AID 034,2025-09-15 10:46:13,jgarner,jgarner
True,"[""FIRE_INSTRUCTOR"", ""HAZMAT""]",2025-09-15 10:46:13,2024-03-29,sjohnson@firedepartment.org,FD1236,Sydney,Sydney Johnson,ADMIN,Johnson,FP-f6f11f5e-6471-427a-853d-49406a54892b,(206) 217-5247,(206) 727-2825,FIREFIGHTER,C,STATION_01,ENGINE 001,2025-09-15 10:46:13,sjohnson,sjohnson
True,"[""EMT""]",2025-09-15 10:46:13,2020-05-21,mdouglas@firedepartment.org,FD7779,Melissa,Melissa Douglas,PREVENTION,Douglas,FP-1db4d9d8-3e48-4f9d-bbc3-b74a1fd99139,(206) 286-8517,(425) 858-2081,FIREFIGHTER,A,STATION_31,ENGINE 031,2025-09-15 10:46:13,mdouglas,mdouglas
True,"[""FIRE_INVESTIGATOR""]",2025-09-15 10:46:13,2003-11-30,hwilliams@firedepartment.org,FD1122,Heather,Heather Williams,ADMIN,Williams,FP-51dd08f2-96f6-47a8-9611-801187ba83d4,(206) 997-8426,(206) 878-7737,PARAMEDIC,B,STATION_14,AID 014,2025-09-15 10:46:13,hwilliams,hwilliams
True,"[""FIRE_INSTRUCTOR"", ""FIRE_INVESTIGATOR"", ""PARAMEDIC""]",2025-09-15 10:46:13,2010-01-31,slong@firedepartment.org,FD5248,Susan,Susan Long,TRAINING,Long,FP-b64eb52d-d292-41cc-a46c-4f7f009d616a,(206) 527-8363,(206) 861-3055,CAPTAIN,C,STATION_21,MEDIC 021,2025-09-15 10:46:13,slong,slong
True,"[""FIRE_INSTRUCTOR""]",2025-09-15 10:46:13,2023-09-29,amorris@firedepartment.org,FD5670,Andrea,Andrea Morris,OPERATIONS,Morris,FP-dbd726a5-1620-4980-b10a-2942900b5d90,(206) 462-4087,(206) 854-7397,FIREFIGHTER,B,STATION_24,ENGINE 024,2025-09-15 10:46:13,amorris,amorris
True,"[""HAZMAT""]",2025-09-15 10:46:13,2018-08-18,rwilliams@firedepartment.org,FD5437,Robert,Robert Williams,ADMIN,Williams,FP-ab43a6c8-79f4-4911-bfef-e292e1cfaf18,(206) 958-5542,(360) 380-5420,BATTALION_CHIEF,A,STATION_02,ENGINE 002,2025-09-15 10:46:13,rwilliams,rwilliams
True,"[""FIRE_INVESTIGATOR"", ""HAZMAT""]",2025-09-15 10:46:13,2019-08-29,rtaylor@firedepartment.org,FD5860,Robert,Robert Taylor,PREVENTION,Taylor,FP-92b8297c-9d15-4926-8f49-2e144b74f1fa,(206) 538-7659,(206) 206-1057,BATTALION_CHIEF,C,STATION_29,LADDER 029,2025-09-15 10:46:13,rtaylor,rtaylor
True,"[""TECH_REScue""]",2025-09-15 10:46:13,2019-02-08,knichols@firedepartment.org,FD9351,Kaitlin,Kaitlin Nichols,TRAINING,Nichols,FP-1a503f4d-bcf8-45b8-8cfa-388d8a706a4c,(206) 850-8070,(425) 309-7086,CAPTAIN,A,STATION_26,MEDIC 026,2025-09-15 10:46:13,knichols,knichols
True,"[""EMT""]",2025-09-15 10:46:13,2010-07-09,rpark@firedepartment.org,FD5118,Robert,Robert Park,OPERATIONS,Park,FP-da865909-1df4-4415-8efb-414a6deac12b,(425) 520-7455,(425) 616-2502,BATTALION_CHIEF,A,STATION_32,MEDIC 032,2025-09-15 10:46:13,rpark,rpark
True,"[""FIRE_INVESTIGATOR""]",2025-09-15 10:46:13,2003-09-10,smiller@firedepartment.org,FD2898,Susan,Susan Miller,OPERATIONS,Miller,FP-6c390521-b57c-4f6f-95bd-383ad453e6c9,(206) 562-9108,(360) 996-3324,BATTALION_CHIEF,A,STATION_02,ENGINE 002,2025-09-15 10:46:13,smiller,smiller
True,"[""EMT"", ""FIRE_INSTRUCTOR""]",2025-09-15 10:46:13,2019-06-14,brobinson@firedepartment.org,FD8001,Brian,Brian Robinson,OPERATIONS,Robinson,FP-8d295a1c-8be9-4a3f-9e3d-895dc3eb66d1,(425) 451-3659,(206) 682-2349,PARAMEDIC,A,STATION_34,AID 034,2025-09-15 10:46:13,brobinson,brobinson
True,"[""PARAMEDIC""]",2025-09-15 10:46:13,2021-06-01,smassey@firedepartment.org,FD3816,Sarah,Sarah Massey,ADMIN,Massey,FP-8b16e589-4382-4671-86ac-4ca6fc94ea11,(425) 217-3092,(206) 913-7677,PARAMEDIC,C,STATION_31,AID 031,2025-09-15 10:46:13,smassey,smassey
True,"[""TECH_REScue""]",2025-09-15 10:46:13,2017-03-31,dnichols@firedepartment.org,FD8284,Daniel,Daniel Nichols,OPERATIONS,Nichols,FP-86783fc0-65af-4a90-a84e-d087285ba2be,(206) 280-7873,(206) 477-5284,LIEUTENANT,C,STATION_26,ENGINE 026,2025-09-15 10:46:13,dnichols,dnichols
True,"[""FIRE_INSTRUCTOR"", ""PARAMEDIC""]",2025-09-15 10:46:13,2012-11-05,jbauer@firedepartment.org,FD3956,James,James Bauer,PREVENTION,Bauer,FP-b87e12c8-d0cc-4411-be56-50680e801b17,(206) 241-6839,(206) 678-2343,BATTALION_CHIEF,C,STATION_11,AID 011,2025-09-15 10:46:13,jbauer,jbauer
True,"[""PARAMEDIC""]",2025-09-15 10:46:13,2023-01-01,rsmith@firedepartment.org,FD6998,Richard,Richard Smith,OPERATIONS,Smith,FP-1449b814-7a84-44c8-85c5-31cb8a11fcce,(425) 680-9505,(206) 781-3987,BATTALION_CHIEF,B,STATION_12,ENGINE 012,2025-09-15 10:46:13,rsmith,rsmith
True,"[""FIRE_INSTRUCTOR"", ""TECH_REScue""]",2025-09-15 10:46:13,2017-05-06,dbarajas@firedepartment.org,FD2944,David,David Barajas,ADMIN,Barajas,FP-e44c5404-7777-43f5-922e-1eb2b5ac83b1,(425) 860-4861,(425) 918-8841,LIEUTENANT,C,STATION_06,LADDER 006,2025-09-15 10:46:13,dbarajas,dbarajas
True,"[""EMT"", ""FIRE_INVESTIGATOR"", ""PARAMEDIC""]",2025-09-15 10:46:13,2016-02-15,clewis@firedepartment.org,FD3157,Cynthia,Cynthia Lewis,PREVENTION,Lewis,FP-78ef3fef-e809-4396-8250-98252b274819,(360) 414-5311,(425) 482-9185,PARAMEDIC,B,STATION_32,ENGINE 032,2025-09-15 10:46:13,clewis,clewis
True,"[""FIRE_INSTRUCTOR"", ""FIRE_INVESTIGATOR""]",2025-09-15 10:46:13,2007-06-12,dfox@firedepartment.org,FD9153,Donna,Donna Fox,OPERATIONS,Fox,FP-71da203e-bf82-4fff-b1d9-d697fb7b35eb,(425) 355-9100,(360) 260-6310,BATTALION_CHIEF,C,STATION_20,AID 020,2025-09-15 10:46:13,dfox,dfox
True,"[""HAZMAT"", ""TECH_REScue""]",2025-09-15 10:46:13,2021-09-07,cduncan@firedepartment.org,FD4525,Colleen,Colleen Duncan,ADMIN,Duncan,FP-f637f39b-ff61-4413-aa6a-e1b5b5ebd9e7,(425) 956-1517,(425) 692-9932,FIREFIGHTER,A,STATION_01,ENGINE 001,2025-09-15 10:46:13,cduncan,cduncan
True,"[""PARAMEDIC"", ""TECH_REScue""]",2025-09-15 10:46:13,2002-02-07,bpark@firedepartment.org,FD5335,Billy,Billy Park,OPERATIONS,Park,FP-9a89f795-bb3b-41c7-9263-9fdbd7c38491,(206) 538-7249,(206) 756-1469,FIREFIGHTER,A,STATION_36,MEDIC 036,2025-09-15 10:46:13,bpark,bpark
True,"[""HAZMAT""]",2025-09-15 10:46:13,2014-10-23,mmendoza@firedepartment.org,FD2579,Melissa,Melissa Mendoza,ADMIN,Mendoza,FP-6f5b9f54-74a0-4fd3-9f64-c49ad3210043,(425) 510-2506,(206) 948-2764,PARAMEDIC,C,STATION_30,LADDER 030,2025-09-15 10:46:13,mmendoza,mmendoza
True,"[""FIRE_INSTRUCTOR"", ""TECH_REScue""]",2025-09-15 10:46:13,2000-09-16,tstewart@firedepartment.org,FD1480,Todd,Todd Stewart,OPERATIONS,Stewart,FP-16480bfb-b01b-4d47-9949-b788e28eb0eb,(206) 365-4796,(206) 794-3012,PARAMEDIC,B,STATION_31,MEDIC 031,2025-09-15 10:46:13,tstewart,tstewart
True,"[""EMT"", ""FIRE_INSTRUCTOR""]",2025-09-15 10:46:13,2004-02-25,lhamilton@firedepartment.org,FD7487,Lori,Lori Hamilton,OPERATIONS,Hamilton,FP-17f119b0-831d-422a-8e4c-0e7818b8189e,(206) 216-5361,(206) 300-7079,LIEUTENANT,A,STATION_21,LADDER 021,2025-09-15 10:46:13,lhamilton,lhamilton
True,"[""FIRE_INSTRUCTOR"", ""PARAMEDIC"", ""TECH_REScue""]",2025-09-15 10:46:13,2008-05-31,kcummings@firedepartment.org,FD3510,Kimberly,Kimberly Cummings,TRAINING,Cummings,FP-bf1f9d34-81af-4290-9cdf-e4ebd6e91a6f,(206) 228-9259,(425) 350-3283,PARAMEDIC,A,STATION_21,MEDIC 021,2025-09-15 10:46:13,kcummings,kcummings
True,"[""EMT"", ""PARAMEDIC""]",2025-09-15 10:46:13,2016-01-30,cchavez@firedepartment.org,FD2918,Charles,Charles Chavez,OPERATIONS,Chavez,FP-57c06597-04a0-4fcf-b5b5-51fc866b94c0,(206) 662-1307,(206) 432-8550,BATTALION_CHIEF,A,STATION_13,ENGINE 013,2025-09-15 10:46:13,cchavez,cchavez
