actions_taken,booking_id,created_date,description,incident_datetime,incident_id,incident_type,involved_inmates,involved_staff,location,person_id,referral_to_outside_agency
"[""MEDICAL_EVAL"", ""DISCIPLINARY""]",be4efe0c-52ad-4b0c-a2c6-f9dd728738c0,2025-09-15 10:43:27,Contraband discovered during cell search.,2025-07-31 18:59:32,JINC-35104cfd-ff6e-47f8-b583-898badbb90cd,CONTRABAND,"[""55793e06-9660-45c4-a079-844c29ff40bb"", ""94b9a8cd-5ce0-499b-8474-bf714d49f22e"", ""ad90fee5-4280-453a-bcd3-76ef0cd83daf""]","[""Dana Savage"", ""Wayne Campos""]",DAYROOM,P-173A992791,
"[""MEDICAL_EVAL"", ""EVIDENCE_SEIZED"", ""DISCIPLINARY""]",1c21c24d-711e-45b6-9f9c-ef74983dda3e,2025-09-15 10:43:27,Altercation between inmates; separated by staff.,2025-05-24 05:25:11,JINC-62e16853-95ab-4e5b-858c-4fda767de945,PROPERTY_DAMAGE,"[""5d341bc3-73bc-47fd-8e37-6f728292fe13"", ""e8edcb70-6525-4c0d-acad-21e8856dd29c"", ""7ea739e6-6740-4c2b-874f-50937ec99392""]","[""Mark Yates"", ""Dominique Schroeder""]",CELL 2,P-14DEF822D8,
"[""ISOLATION"", ""MEDICAL_EVAL"", ""REPORT_FILED""]",e31e487b-6486-4bd9-a24b-9c5927fab2ab,2025-09-15 10:43:27,Inmate referred for medical evaluation.,2025-06-04 03:31:53,JINC-033030e8-a23e-4fe9-a2a8-1d26be6b9dab,MEDICAL,[],"[""Jenna Carlson""]",POD B,P-565D81B3CB,
"[""REPORT_FILED"", ""EVIDENCE_SEIZED"", ""ISOLATION""]",5f55819b-ea4d-4456-9349-31f1e393055b,2025-09-15 10:43:27,Contraband discovered during cell search.,2025-08-02 02:48:43,JINC-ab16d484-de33-4ab6-87f3-fbcdb12c7d3b,SELF_HARM,[],"[""Nicole Townsend"", ""Kelsey Deleon"", ""Richard Rowe""]",DAYROOM,P-706111220A,
"[""EVIDENCE_SEIZED"", ""ISOLATION"", ""MEDICAL_EVAL""]",8baa281a-ae21-4a6c-9654-5815812243ad,2025-09-15 10:43:27,Property damage to dayroom table recorded.,2025-04-17 00:04:18,JINC-bfd6fb81-eecd-49ee-8ff2-241dd397d7e7,MEDICAL,"[""94b9883d-de26-401f-8027-ceb404f0b5a8"", ""feb5c74f-d97f-455e-8121-092ac6cb59dd"", ""3dc59305-73dd-460d-b153-547f78ce7145""]","[""Travis Fleming""]",CELL 2,P-6599556AD2,KCSO
"[""EVIDENCE_SEIZED"", ""DISCIPLINARY"", ""ISOLATION""]",1b11aca1-ffae-4cae-8a98-be516f01fc8b,2025-09-15 10:43:27,Property damage to dayroom table recorded.,2025-08-01 19:17:02,JINC-d5c9ebcd-9cb6-483a-83a4-ad68a6550ebf,PROPERTY_DAMAGE,[],"[""Michelle Harvey"", ""Edgar Paul"", ""Robert Harvey""]",DAYROOM,P-56EE1772BC,KCSO
"[""REPORT_FILED"", ""EVIDENCE_SEIZED"", ""MEDICAL_EVAL""]",3c4d0163-9aa4-4047-a332-12852ff7aaaa,2025-09-15 10:43:27,Property damage to dayroom table recorded.,2025-05-24 05:33:22,JINC-2e96743a-bc07-40f5-aaaa-834f60f79518,SELF_HARM,"[""cb2ef947-831b-49db-83b8-c21cc686a848""]","[""Linda Myers""]",POD A,P-524D032F97,KCSO
"[""DISCIPLINARY"", ""ISOLATION""]",52b0fdde-a826-4279-8e34-25470f740809,2025-09-15 10:43:27,Property damage to dayroom table recorded.,2025-07-15 18:17:29,JINC-c1daee5a-28b8-4a2c-a090-38a85f3b7164,CONTRABAND,"[""8c66ab2d-f41b-48d7-9c16-3074556ea08b"", ""16f217aa-390b-4b5e-823e-0211e2377c89"", ""1de9fb60-e0c3-4578-b4c0-6b4172f897de""]","[""Kathleen Smith"", ""Evelyn Green"", ""Christian Dunn""]",DAYROOM,P-5DF3BB9E80,KCSO
"[""REPORT_FILED"", ""MEDICAL_EVAL""]",12050cc0-dba2-4f6e-a2ee-0f3008bae01f,2025-09-15 10:43:27,Property damage to dayroom table recorded.,2025-05-29 20:05:04,JINC-d2fb4916-fac9-423a-a631-da01f8e3f20b,MEDICAL,[],"[""Vickie Snyder"", ""Larry Thompson"", ""Christina Blair""]",CELL 2,P-49710EA30F,KCSO
"[""REPORT_FILED""]",5a7ae13a-abe9-4d53-bc04-745e3c9b7bc8,2025-09-15 10:43:27,Property damage to dayroom table recorded.,2025-08-19 05:24:40,JINC-8dff3a59-3f44-40c3-8e18-7c44c6452380,SELF_HARM,"[""331d4bdf-a93f-4afe-b7cd-a48573b8c4d3"", ""db24b40d-2eb2-4aba-85de-fd714548f5ff"", ""cc900f0a-3c5d-42e6-9b64-fb8b55588dc4""]","[""Francis Carlson"", ""Margaret Mcconnell"", ""Heather Alvarado""]",POD A,P-93B24D68B6,PROSECUTOR
"[""MEDICAL_EVAL"", ""DISCIPLINARY""]",534eabf5-6086-46c0-a4dc-00a0b555dfd1,2025-09-15 10:43:28,Property damage to dayroom table recorded.,2025-06-30 17:10:30,JINC-593606cd-7ea0-48c0-ace1-a3fb1887f5b1,SELF_HARM,[],"[""Michelle Reed"", ""Mitchell Conner""]",POD B,P-2D653ECBAE,PROSECUTOR
"[""DISCIPLINARY"", ""ISOLATION"", ""EVIDENCE_SEIZED""]",e1e5c028-cdc9-433f-8624-e3b3c632e718,2025-09-15 10:43:28,Altercation between inmates; separated by staff.,2025-08-10 00:07:16,JINC-d265bf2a-4112-41a1-9a2e-25c95426184a,ASSAULT,"[""bbc32ec8-6e0f-40d4-8511-351ff9622a02""]","[""Jacob Rodriguez""]",CELL 2,P-21D51EE7C4,
"[""EVIDENCE_SEIZED"", ""ISOLATION"", ""DISCIPLINARY""]",1d311346-1385-499a-b1ed-c4d565260529,2025-09-15 10:43:28,Altercation between inmates; separated by staff.,2025-05-06 00:59:14,JINC-55ed34c1-4efa-459a-b919-280c8d19180f,MEDICAL,"[""f96b9b43-bf3b-4b9a-b927-7a4075aae329""]","[""John Griffith"", ""Amy Brooks"", ""Zachary Pierce""]",POD A,P-6A0D492999,KCSO
"[""MEDICAL_EVAL""]",ffab18ac-8f4a-40c1-a754-066ef4a488d6,2025-09-15 10:43:28,Contraband discovered during cell search.,2025-08-06 21:14:10,JINC-674e3c8c-9848-4f18-b3a6-e0042ee98b78,CONTRABAND,"[""36b1006c-0399-4d2c-953a-edbdafab69e3"", ""c3898246-8606-45ae-b840-8b270b1bde47""]","[""Carla Ford"", ""Pamela Stein"", ""Mary Waters""]",MEDICAL,P-F4F9CF3973,PROSECUTOR
"[""EVIDENCE_SEIZED""]",1572d59e-05cc-46b4-aef8-a23c2b40fd5a,2025-09-15 10:43:28,Property damage to dayroom table recorded.,2025-09-01 07:07:51,JINC-a17a7f9f-b798-49ff-9ea8-4d6df1909aa4,SELF_HARM,"[""335f80e8-48ba-4320-8a63-301bfaf4da1f"", ""bc683049-56be-44d7-86cb-b02ecc73fadc""]","[""Vincent Clark""]",MEDICAL,P-BEE1B3EE4E,
"[""MEDICAL_EVAL"", ""DISCIPLINARY""]",accb30c5-207e-428a-907e-96d05a180cd9,2025-09-15 10:43:28,Contraband discovered during cell search.,2025-08-05 07:23:01,JINC-afe9d50b-73b6-4685-b5a3-4e20e34dffee,PROPERTY_DAMAGE,[],"[""Natalie Mcmahon""]",POD B,P-C8B0E88D87,PROSECUTOR
"[""ISOLATION"", ""MEDICAL_EVAL""]",9270833d-99f8-45bc-9023-6147aa1ac824,2025-09-15 10:43:28,Altercation between inmates; separated by staff.,2025-06-26 19:18:19,JINC-fd83de0d-fd7e-424a-8b76-6a40cddb2737,PROPERTY_DAMAGE,"[""78103885-91f7-4ee3-b574-99cb7a45f655"", ""8b15ae5e-231f-4da1-bebd-c6103223d553"", ""8675b60b-101a-47d4-99aa-3f2c923c6920""]","[""Ryan Reyes"", ""Andrew Boyd"", ""Marilyn Brown""]",POD B,P-02C4F09021,KCSO
"[""EVIDENCE_SEIZED"", ""DISCIPLINARY"", ""ISOLATION""]",3b3fb0da-cc25-4364-85a7-edfd4b006c4e,2025-09-15 10:43:28,Altercation between inmates; separated by staff.,2025-04-30 10:54:27,JINC-1f82f2ba-df5b-4898-b169-2624600d55bd,SELF_HARM,"[""f24d2e11-9c11-4fd2-819b-80c33b7a8158""]","[""Lauren Rodriguez"", ""Tonya Johnson""]",POD B,P-6C11B17289,PROSECUTOR
"[""REPORT_FILED"", ""ISOLATION""]",e6bb41ec-f6d1-4aab-89f9-4ac9bbb18165,2025-09-15 10:43:28,Contraband discovered during cell search.,2025-04-24 01:27:08,JINC-5cfa56cc-86a3-4ecb-9378-d314b6a64b4a,PROPERTY_DAMAGE,"[""eca3336a-fcd4-4898-ac62-e15f0e31bbad""]","[""Sarah Thomas"", ""Linda Sherman""]",CELL 2,P-03A541631B,PROSECUTOR
"[""ISOLATION"", ""MEDICAL_EVAL"", ""REPORT_FILED""]",da3ef2fc-a93e-4d13-8746-3accdfbb9ff0,2025-09-15 10:43:28,Property damage to dayroom table recorded.,2025-05-03 21:57:31,JINC-7dfe58fa-df3b-4fa8-9280-22e86affe474,PROPERTY_DAMAGE,[],"[""Danielle Stanley"", ""Sharon Lopez"", ""Eric Richmond""]",MEDICAL,P-3CAC425735,KCSO
"[""ISOLATION"", ""REPORT_FILED"", ""EVIDENCE_SEIZED""]",1511d086-2103-4f66-8360-0de17beee561,2025-09-15 10:43:28,Altercation between inmates; separated by staff.,2025-04-16 02:03:58,JINC-5e4c99bd-6937-4c35-89e5-768795d91c26,ASSAULT,"[""f1f1b3bc-9bf4-4a0c-8493-524aa104a70d"", ""d20129f5-9d66-48d1-95c3-a77878122418""]","[""Steven Heath"", ""Tina Hogan"", ""Crystal Davis""]",YARD,P-38D466C588,KCSO
"[""EVIDENCE_SEIZED"", ""DISCIPLINARY""]",d37cc269-1c46-4893-9ee0-fafee3bfdb90,2025-09-15 10:43:28,Property damage to dayroom table recorded.,2025-04-15 14:06:48,JINC-68ac3c9c-3585-4655-b642-8c6b6d0bd7bb,PROPERTY_DAMAGE,"[""6b4d058a-6c49-4319-9f23-172a60d58dee""]","[""Erin Baker"", ""Michael Nichols""]",POD A,P-56BF2E8E28,PROSECUTOR
"[""EVIDENCE_SEIZED""]",0d323674-30f6-44ee-b4bd-aecf911916fd,2025-09-15 10:43:28,Inmate referred for medical evaluation.,2025-08-25 18:52:17,JINC-aa7f5959-6d3a-4d0d-93ec-1ae8a5e6ea4e,PROPERTY_DAMAGE,"[""7b7b148f-a839-4e0e-8281-b0c27c704fe0""]","[""Karen Freeman""]",MEDICAL,P-5C03E37EAB,
"[""EVIDENCE_SEIZED"", ""REPORT_FILED""]",c9b299e2-6e39-4e8f-9152-f9929dcc4d2c,2025-09-15 10:43:28,Inmate referred for medical evaluation.,2025-05-28 05:50:05,JINC-8c3dbbe4-514d-451b-b568-cc48ca0c54c1,SELF_HARM,"[""8013163c-f50a-4e9c-aae1-abc7f6947a53"", ""c3087555-0e51-45f3-9846-4fb9ae65d6cb"", ""165802f0-a5a1-4f1c-b43d-8ddca001256b""]","[""Shirley Mason"", ""Brian Shannon"", ""Micheal Green""]",CELL 2,P-3373C9711A,KCSO
"[""MEDICAL_EVAL""]",849389df-588c-4e09-9fb3-6744e1e26f39,2025-09-15 10:43:28,Inmate referred for medical evaluation.,2025-06-30 16:53:33,JINC-520ef732-3a4e-44c8-80db-73e0370a1b37,PROPERTY_DAMAGE,[],"[""Dawn Oneill"", ""Amy Contreras""]",YARD,P-C26F7C6017,KCSO
"[""REPORT_FILED""]",7b85f8f4-3db2-41d3-bad7-70aac6385352,2025-09-15 10:43:28,Contraband discovered during cell search.,2025-05-01 07:56:04,JINC-1b55fb78-05a4-4792-9f2d-32653730203e,SELF_HARM,[],"[""Matthew Jenkins"", ""Sierra Guzman""]",YARD,P-14EA1729AE,
"[""REPORT_FILED""]",a4a143d7-d137-43b2-9d2f-06dde7e1bf44,2025-09-15 10:43:28,Inmate referred for medical evaluation.,2025-04-23 10:29:14,JINC-fcf78a3c-5099-4367-8de0-b0e5090a6e64,MEDICAL,"[""e7ce673e-9238-4d28-9157-e138391f3646"", ""9d345a57-99eb-4731-9e22-2ddaf50f635e""]","[""Jerry Scott""]",POD B,P-8E87F8B518,
"[""MEDICAL_EVAL"", ""EVIDENCE_SEIZED"", ""REPORT_FILED""]",93b0b131-7b67-4ac7-9a39-701638efdb90,2025-09-15 10:43:28,Contraband discovered during cell search.,2025-04-10 16:39:17,JINC-08c9b699-94f7-40a6-aafc-c96cb47ab72d,PROPERTY_DAMAGE,[],"[""Richard Ramos""]",DAYROOM,P-CC11250C72,KCSO
"[""DISCIPLINARY""]",a9e60cfc-1061-4805-8651-32e469162d0b,2025-09-15 10:43:28,Inmate referred for medical evaluation.,2025-08-12 20:56:42,JINC-683f618c-051d-4f44-bf4a-d2995837e5b1,ASSAULT,[],"[""Victor Rowe"", ""Vanessa Robinson""]",MEDICAL,P-90E3FB280B,KCSO
"[""DISCIPLINARY"", ""MEDICAL_EVAL""]",e2070606-43b8-4910-804d-0bb8cf93a7aa,2025-09-15 10:43:28,Property damage to dayroom table recorded.,2025-03-28 10:44:34,JINC-ee116701-1baf-46d8-b677-032efdd62f09,PROPERTY_DAMAGE,[],"[""Cassandra Anderson""]",MEDICAL,P-2C819A527B,PROSECUTOR
"[""REPORT_FILED"", ""ISOLATION"", ""DISCIPLINARY""]",92e65b27-98e4-422e-8a7b-8025ed425e1e,2025-09-15 10:43:28,Contraband discovered during cell search.,2025-05-12 06:02:40,JINC-98b141fc-faa5-4fa0-925d-45265a18795e,SELF_HARM,"[""ab3d795f-df26-4ef8-806e-a1865cfb9602""]","[""Tiffany Wilson""]",DAYROOM,P-70CF498A7B,PROSECUTOR
"[""MEDICAL_EVAL""]",5bd23b5c-8ac2-4006-a9a9-a7f016280ecc,2025-09-15 10:43:28,Property damage to dayroom table recorded.,2025-04-06 11:23:56,JINC-e1907e67-acf4-4bba-9f36-7085f3fa3af7,CONTRABAND,"[""3eedb999-5ceb-4839-9f9b-aa1957fa8ae6"", ""4854d501-bb10-46fb-80dd-ce7af8e6061f""]","[""Steven Campos"", ""Christopher Stokes"", ""Christine Wilson""]",DAYROOM,P-C8BDBE91D4,
"[""MEDICAL_EVAL"", ""REPORT_FILED""]",3d15c3a7-e2d8-4f8c-8d9e-93984be2f5b4,2025-09-15 10:43:28,Altercation between inmates; separated by staff.,2025-04-19 09:31:01,JINC-989bf274-f1af-4993-b455-12bd7cee3ed3,MEDICAL,"[""e371f65b-1b0f-4887-8a26-aff72e3af56d"", ""9f25b104-12ab-46ce-b697-dc5b11ae2898""]","[""Alexandra Henry"", ""David Schneider"", ""David Trevino""]",CELL 2,P-A753C40426,PROSECUTOR
"[""REPORT_FILED""]",e901542a-36a0-412f-b099-930e2e5bc916,2025-09-15 10:43:28,Altercation between inmates; separated by staff.,2025-07-01 07:13:01,JINC-e5ec461f-a17e-45d4-bb73-05013c3e3cbc,ASSAULT,"[""f349f9b8-ada8-4b55-a823-328d98f86e43""]","[""Diana Howard"", ""Darrell Anderson"", ""Heather Hoffman""]",POD B,P-F93EAFC9FF,KCSO
"[""MEDICAL_EVAL""]",f0c32846-7934-4094-8863-8899fd662790,2025-09-15 10:43:28,Altercation between inmates; separated by staff.,2025-06-27 18:02:46,JINC-567c5c26-051c-4f43-a4a6-247e19d6ae80,SELF_HARM,"[""ce06c72b-e276-4a4c-ae77-3f4d450e7e99"", ""7ee4f75b-59f1-43eb-9cc6-4376b0a5f7a4"", ""e5fd5e63-1a24-4de3-add6-559d7ca7937a""]","[""Ashley Green"", ""Scott Johnson""]",CELL 2,P-3D88E3DED2,
"[""REPORT_FILED"", ""ISOLATION"", ""DISCIPLINARY""]",69c27426-cced-4af1-9fba-cbb7adb4e4ba,2025-09-15 10:43:29,Property damage to dayroom table recorded.,2025-05-29 22:35:04,JINC-e366b792-4292-43b0-a84d-cf108d4ef0e7,PROPERTY_DAMAGE,"[""c2769f3f-6cc5-4a6a-b8dd-90785c6f3338"", ""d9b3cc7a-67b1-4953-9f64-c97e35ff3ffb"", ""7de4d167-80e2-45ce-9fe8-23f2de696a70""]","[""Alison Wood"", ""Brenda Wade"", ""Kenneth Dyer""]",MEDICAL,P-05108BEFDD,
"[""REPORT_FILED"", ""ISOLATION"", ""EVIDENCE_SEIZED""]",669f19d5-4f0c-4ee4-b432-f46a06993795,2025-09-15 10:43:29,Inmate referred for medical evaluation.,2025-04-25 01:38:13,JINC-649f9bb3-b0f1-473f-9e0c-b13ce32fd420,ASSAULT,"[""ceeda104-35d0-4cb7-8c17-16cc6910acf2"", ""25e74609-0317-408c-b963-a5db545b968f"", ""af7682e3-1915-4cd7-9dd8-8faaf9c4b23e""]","[""Harry Lee"", ""Caitlyn Martin"", ""Debra Wilson""]",YARD,P-01EC9A95A6,PROSECUTOR
"[""ISOLATION"", ""DISCIPLINARY""]",cf1aa230-38d9-479c-a257-d3395fc227cf,2025-09-15 10:43:29,Inmate referred for medical evaluation.,2025-08-18 06:50:22,JINC-2a493437-f46b-4432-807b-f1485271241b,PROPERTY_DAMAGE,"[""8518e711-c71e-465f-b6d2-44d7c4763c56"", ""63a440fb-9862-4e31-b9ef-105d93ad963f""]","[""Cheryl Shaw"", ""Matthew Bartlett"", ""Tara Graves""]",CELL 2,P-CF62048A16,
"[""EVIDENCE_SEIZED""]",b746a57d-222f-4ce8-a65f-69f0e8e4221e,2025-09-15 10:43:29,Property damage to dayroom table recorded.,2025-03-20 06:01:22,JINC-94cb727f-bae6-40c2-9f2f-4c23e2aacb6d,CONTRABAND,[],"[""Adriana Rodriguez"", ""Jo Meadows"", ""Maria Gonzalez""]",MEDICAL,P-CED6CCE173,PROSECUTOR
"[""EVIDENCE_SEIZED""]",17e0fb0c-daff-4c39-b9d0-b619de2bc6e0,2025-09-15 10:43:29,Altercation between inmates; separated by staff.,2025-05-27 09:06:41,JINC-d2787f20-7fdf-4ff1-a780-284d7a05dfcc,ASSAULT,"[""e8cfb50a-e997-4d79-93e3-1e2f9c1b8962"", ""49fa47e1-7da1-4cb5-a124-2f637a1f76b8""]","[""Anthony Rodgers"", ""Denise Johnson"", ""Johnny Hill""]",MEDICAL,P-D4A87BADA5,KCSO
"[""REPORT_FILED"", ""EVIDENCE_SEIZED""]",3f4e1e42-55e0-4004-a6f3-9d757e84b59d,2025-09-15 10:43:29,Altercation between inmates; separated by staff.,2025-09-03 20:34:46,JINC-2e2ad528-268f-495d-9e4b-8ecc36f15281,ASSAULT,"[""6b205a21-feb3-4719-909c-d62c693ac02f""]","[""Christopher Norton""]",DAYROOM,P-AEBC824D74,PROSECUTOR
"[""ISOLATION"", ""DISCIPLINARY"", ""REPORT_FILED""]",f7db003a-82d6-428f-b2ec-d0e58b5168f7,2025-09-15 10:43:29,Property damage to dayroom table recorded.,2025-08-09 23:59:51,JINC-d3664f0c-fdfb-4cbd-ac3d-afab265a2ecd,SELF_HARM,"[""b51c8bce-9d89-415f-9c08-6f25ee561828"", ""de3aa90e-d3e2-4461-8432-a5a9e35d35a9""]","[""Michelle Lowe"", ""Alexandra Morgan"", ""Michael Hernandez""]",YARD,P-ACD404CBF2,PROSECUTOR
"[""ISOLATION""]",5a551eb3-1777-467c-b44c-2854791ddadf,2025-09-15 10:43:29,Inmate referred for medical evaluation.,2025-04-06 19:23:04,JINC-4b2e9d4c-a43d-42ab-ad27-a02d98863d42,CONTRABAND,"[""bf36c7d6-b02d-4c1c-b2cb-2a54131b8ca8"", ""edf5a682-2bec-438f-928f-22fc961db7e3""]","[""Richard Moody"", ""Connor Ortiz"", ""James Young""]",POD B,P-9B2842D239,KCSO
"[""DISCIPLINARY"", ""REPORT_FILED""]",72dcc88b-9d9e-4eb8-9b21-7201e92d6086,2025-09-15 10:43:29,Altercation between inmates; separated by staff.,2025-06-02 00:46:04,JINC-be378362-83d9-40b7-8ac0-b80b5986da7a,ASSAULT,"[""4b86ad60-7cc1-483e-9153-75461cbb25e0"", ""151c118b-caab-49fc-acb7-bfaee6ee7078""]","[""Brenda Jones""]",MEDICAL,P-C0DE7486E8,
"[""REPORT_FILED"", ""ISOLATION"", ""DISCIPLINARY""]",4e37b74c-57c7-4698-80fb-9c60737510b7,2025-09-15 10:43:29,Altercation between inmates; separated by staff.,2025-06-05 18:47:26,JINC-b440611b-b7b9-4489-b21a-48dcbccb1173,CONTRABAND,"[""112339b1-6ca3-458f-9f7d-de43cea5fd75"", ""7a113171-9d92-4860-9a43-0b2a10c7bbcd"", ""ec2fc1ef-98e8-436e-80ca-27fb68eb72cf""]","[""Philip Boyle"", ""Dustin Carter"", ""Zachary Adams""]",CELL 2,P-544D0F7AB0,
"[""EVIDENCE_SEIZED""]",49ab07b5-8849-4ae2-8cf3-892476481890,2025-09-15 10:43:29,Contraband discovered during cell search.,2025-08-29 20:19:34,JINC-433b352f-5828-462a-b1a1-ecc9d860f6be,CONTRABAND,[],"[""Joy Hensley"", ""Christina Moore"", ""Rebecca Dunn""]",POD B,P-31AC7CE4D8,
"[""DISCIPLINARY""]",07629988-70a0-4158-9184-174cd3ae66d6,2025-09-15 10:43:29,Contraband discovered during cell search.,2025-05-05 04:37:42,JINC-3ef5bb98-4780-4886-99d6-4b346cb9a25f,SELF_HARM,"[""01ac353a-ebb8-45b8-ae33-7e97aa144c76"", ""c00bbe9f-f9e1-4d4b-b387-89fbd27b7fdf"", ""e7c43161-2aec-4ed4-be19-2a9e86d94852""]","[""Brandy Singh""]",MEDICAL,P-5B857EDD22,PROSECUTOR
"[""REPORT_FILED"", ""DISCIPLINARY""]",b82b4d6d-e0cb-4cff-91e2-13ef7a0a28f7,2025-09-15 10:43:29,Contraband discovered during cell search.,2025-06-30 18:34:37,JINC-71f2481e-5768-49d5-af69-1b66f13adc50,MEDICAL,[],"[""Sonya Bishop""]",MEDICAL,P-7A974737F5,PROSECUTOR
"[""ISOLATION"", ""MEDICAL_EVAL"", ""DISCIPLINARY""]",31f5155f-feaa-41c9-b555-e9775be9dfd3,2025-09-15 10:43:29,Altercation between inmates; separated by staff.,2025-07-01 00:12:56,JINC-f00af3fc-e617-4cf7-913b-e46f757f5eda,SELF_HARM,"[""1a7e45f2-b41c-451f-a4a8-e6e03000849d"", ""7a37dab6-7afb-432e-a1e7-50651eb2a19c""]","[""James Small""]",YARD,P-CD6257C7D7,KCSO
"[""EVIDENCE_SEIZED"", ""MEDICAL_EVAL""]",c1f93751-f5fa-4504-90d2-4602d5fba194,2025-09-15 10:43:29,Contraband discovered during cell search.,2025-07-27 02:22:47,JINC-418ce41f-100c-4e0d-a8f0-b835a69e448c,SELF_HARM,"[""cafb01c0-e719-4f75-920a-4b037d598791""]","[""Rebecca Smith"", ""Marissa Mcdonald""]",CELL 2,P-8687B06681,
"[""MEDICAL_EVAL"", ""DISCIPLINARY"", ""REPORT_FILED""]",5066b710-dcdb-45ff-89e9-00e1c0a00c13,2025-09-15 10:43:29,Inmate referred for medical evaluation.,2025-04-22 00:17:22,JINC-a3cdc7cf-c312-4d17-95c7-f3b625e4d17b,PROPERTY_DAMAGE,"[""dc1fe9e6-ad04-4d22-88f8-a53a26c179db""]","[""John Vaughn"", ""Tommy Webb""]",POD A,P-21045C7527,PROSECUTOR
