employee_ids,employee_names,end_datetime,length_minutes,location,qualifiers,scheduled_by,shift_id,start_datetime,station,unit_code,unit_name,work_type
"[""FD8677"", ""FD1511""]","[""Nicole Dodson"", ""Kaitlin Baker""]",2025-09-02 11:10:42,720,"1740 NW 58th St, Seattle, WA 98107","[""COMPANY_OFFICER""]","[""Christopher Moore""]",b6d7f724-42ca-4df5-843f-d40289778db9,2025-09-01 23:10:42,STATION_26,M024,MEDIC 024,OVERTIME
"[""FD2596"", ""FD3579"", ""FD2866"", ""FD2562"", ""FD3117"", ""FD6268""]","[""Roger Foster"", ""Brian Johnson"", ""Caleb Moody"", ""Steven Harrison"", ""Patrick Durham"", ""Anna Russo""]",2025-09-05 06:35:25,480,"417 E Union St, Seattle, WA 98112","[""PARAMEDIC""]","[""Richard Garrett""]",7c4c5da2-f460-4621-a444-d2f291af080c,2025-09-04 22:35:25,STATION_21,L023,LADDER 023,REGULAR
"[""FD9766"", ""FD1954"", ""FD9465""]","[""Matthew Morris"", ""Thomas Flores"", ""Desiree Woodard""]",2025-09-24 13:56:36,720,"662 E Pine St, Seattle, WA 98112","[""COMPANY_OFFICER"", ""PARAMEDIC""]","[""Lisa Cook""]",69f17d3d-990e-42c1-b8d7-99fba99c0511,2025-09-24 01:56:36,STATION_29,L013,LADDER 013,REGULAR
"[""FD2010"", ""FD7727"", ""FD9176"", ""FD6874"", ""FD6648"", ""FD8432""]","[""Tracy Bender"", ""James Dawson"", ""Tanya Cook"", ""Jesus Martinez"", ""Derek Powers"", ""Leslie Bullock""]",2025-09-10 05:16:08,480,"847 E Thomas St, Seattle, WA 98112","[""COMPANY_OFFICER"", ""FIREFIGHTER""]","[""Sarah Stone"", ""Jose Williamson""]",4fe9c8a6-2f76-4a32-a81a-9610c7912d79,2025-09-09 21:16:08,STATION_15,L006,LADDER 006,REGULAR
"[""FD3468"", ""FD1648""]","[""Johnny Guzman"", ""Whitney Doyle""]",2025-09-07 23:11:45,480,"1387 S Eddy St, Seattle, WA 98108","[""COMPANY_OFFICER"", ""PARAMEDIC""]","[""Timothy Stanton""]",2f04a202-4a29-413e-a611-f3d7d5acad7b,2025-09-07 15:11:45,STATION_5,A006,AID 006,OVERTIME
"[""FD4580"", ""FD9248"", ""FD2860""]","[""Michael Gill"", ""Mary Lewis"", ""Cindy Sanchez""]",2025-09-18 22:22:28,720,"1087 Pine St, Seattle, WA 98101","[""FIREFIGHTER"", ""PARAMEDIC""]","[""Donald Wright"", ""Ryan Cole""]",f4fb7e9c-eaba-45f2-995f-1263beb60c89,2025-09-18 10:22:28,STATION_10,L022,LADDER 022,REGULAR
"[""FD6781"", ""FD4761"", ""FD6789""]","[""Ronald Williams"", ""Mark Robinson"", ""Derek Nash""]",2025-09-19 17:32:17,1440,"681 S Norman St, Seattle, WA 98104","[""FIREFIGHTER""]","[""Alyssa Howard""]",9e80dea9-553e-4aee-82bb-618020de67f6,2025-09-18 17:32:17,STATION_17,L032,LADDER 032,OVERTIME
"[""FD9352"", ""FD4871"", ""FD8504""]","[""Dana Fletcher"", ""Claudia Hill"", ""Heather Acevedo""]",2025-09-03 11:21:12,480,"1107 S Lucile St, Seattle, WA 98108","[""FIREFIGHTER""]","[""Tiffany Levine""]",b12e24de-d7a4-4a14-ae5f-add1f2f32566,2025-09-03 03:21:12,STATION_16,A024,AID 024,REGULAR
"[""FD7802"", ""FD9137"", ""FD1235""]","[""Stephanie Ewing"", ""Autumn Guerrero"", ""Susan Henderson""]",2025-09-16 11:35:28,600,"1323 NW Leary Way, Seattle, WA 98107","[""PARAMEDIC""]","[""Eric Thomas""]",6c3e1270-01ea-4d13-98ba-46bfec4bfa19,2025-09-16 01:35:28,STATION_27,A030,AID 030,REGULAR
"[""FD3065"", ""FD7352"", ""FD5589"", ""FD1556""]","[""Nicholas Martin"", ""Jason Franco"", ""Cole Robles"", ""Stacy Young""]",2025-09-03 11:52:42,600,"668 5th Ave NE, Seattle, WA 98105","[""COMPANY_OFFICER"", ""FIREFIGHTER""]","[""Wayne Williams"", ""Brenda Webb""]",814fe7c9-59a4-4aed-af69-df1cf28b4c3c,2025-09-03 01:52:42,STATION_26,A014,AID 014,OVERTIME
"[""FD3079"", ""FD5901""]","[""Katherine Mason"", ""Nicholas Acosta""]",2025-09-06 14:01:25,600,"805 S Weller St, Seattle, WA 98104","[""FIREFIGHTER"", ""PARAMEDIC""]","[""Brenda Chapman"", ""Nicholas Howard""]",3d2dc027-a6fb-4f66-8a9a-8d3c10568f60,2025-09-06 04:01:25,STATION_8,A036,AID 036,REGULAR
"[""FD6931"", ""FD4493"", ""FD3357"", ""FD6219""]","[""Blake Wallace"", ""Steven Caldwell"", ""Rebecca Sims"", ""Timothy Delgado""]",2025-09-15 15:14:58,1440,"247 5th Ave, Seattle, WA 98101","[""COMPANY_OFFICER"", ""PARAMEDIC""]","[""Christopher Adams""]",cc559974-5e27-4e33-9786-a2c8590ee276,2025-09-14 15:14:58,STATION_34,A022,AID 022,OVERTIME
"[""FD3457"", ""FD1584"", ""FD1791"", ""FD9368""]","[""Courtney Payne"", ""Luis Stevens"", ""Jacob Stevens"", ""Kristen Perez""]",2025-09-20 07:41:54,600,"1156 24th Ave NW, Seattle, WA 98107","[""PARAMEDIC""]","[""Courtney Butler"", ""Rebecca Gibbs""]",6ea5413c-ad25-48fe-bbee-7e0006326c09,2025-09-19 21:41:54,STATION_28,A001,AID 001,OVERTIME
"[""FD6548"", ""FD8857"", ""FD3922"", ""FD7335"", ""FD7207"", ""FD7836""]","[""Kristin White"", ""Steven Howard"", ""Thomas Moreno"", ""Andrea Turner"", ""Jesse Hughes"", ""Angela Moss""]",2025-09-20 14:04:58,480,"276 S Nevada St, Seattle, WA 98104","[""COMPANY_OFFICER"", ""PARAMEDIC""]","[""Paul Walsh"", ""Jeffery Marshall""]",368aade2-4a46-4d9a-9bf7-a79bbb00ffbd,2025-09-20 06:04:58,STATION_33,E035,ENGINE 035,REGULAR
"[""FD7662"", ""FD6238"", ""FD5134"", ""FD6904""]","[""Marie King"", ""Kristine Perry"", ""Philip Patel"", ""Crystal Martin""]",2025-09-09 19:25:20,600,"207 S Eddy St, Seattle, WA 98108","[""FIREFIGHTER""]","[""Daniel Spencer"", ""Gregory Molina""]",8bd17d53-94b8-440c-9330-8674856b7adf,2025-09-09 09:25:20,STATION_7,B017,BATTALION 017,OVERTIME
"[""FD9893"", ""FD4060"", ""FD9120"", ""FD9119""]","[""James Parker"", ""Michael Reeves"", ""Joseph Rice"", ""Jessica Kelly""]",2025-09-21 00:35:02,1440,"1469 E Blaine St, Seattle, WA 98102","[""FIREFIGHTER""]","[""Madison Burns"", ""Frank Jones""]",9cbd059b-01fa-4f6a-a76c-fefaa8ac2580,2025-09-20 00:35:02,STATION_18,B006,BATTALION 006,OVERTIME
"[""FD4493"", ""FD5095"", ""FD8504""]","[""Steven Caldwell"", ""Benjamin Chen"", ""Heather Acevedo""]",2025-09-23 13:20:49,600,"444 E Prospect St, Seattle, WA 98112","[""FIREFIGHTER"", ""PARAMEDIC""]","[""Jacqueline Keller"", ""Dylan Smith""]",bf19dc19-0c72-41e3-9145-98b2a3f1cadb,2025-09-23 03:20:49,STATION_34,E009,ENGINE 009,REGULAR
"[""FD8949"", ""FD8110"", ""FD2367"", ""FD6919""]","[""Gregory Mcdonald"", ""Alexander Mendez"", ""Andrew Lewis"", ""Morgan Russell""]",2025-09-07 14:38:23,720,"1911 W Newton St, Seattle, WA 98109","[""FIREFIGHTER"", ""PARAMEDIC""]","[""Nicholas Walker"", ""Pamela Hamilton""]",6a290181-9e59-4ac6-8c9b-849a280b6858,2025-09-07 02:38:23,STATION_35,M022,MEDIC 022,OVERTIME
"[""FD9534"", ""FD7802"", ""FD2944""]","[""Hannah Ramos"", ""Ann Griffin"", ""Joseph Roberts""]",2025-09-23 08:08:41,720,"296 Pine St, Seattle, WA 98102","[""FIREFIGHTER"", ""PARAMEDIC""]","[""Thomas Collins"", ""Melissa Ingram""]",04e0b4b9-fba4-4be5-8548-fd5b7b0212ab,2025-09-22 20:08:41,STATION_1,L012,LADDER 012,REGULAR
"[""FD4348"", ""FD1253"", ""FD8262"", ""FD5182"", ""FD9764""]","[""Elizabeth Murphy"", ""Justin Garcia"", ""Jacqueline Stevens"", ""Robert Coleman"", ""Keith Velazquez""]",2025-09-20 01:51:38,600,"1979 SW Webster St, Seattle, WA 98106","[""COMPANY_OFFICER""]","[""Margaret Curtis""]",685458e9-99eb-434a-a1aa-4b569af5858a,2025-09-19 15:51:38,STATION_37,E012,ENGINE 012,OVERTIME
"[""FD7662"", ""FD4840"", ""FD5377"", ""FD1007"", ""FD8032"", ""FD9490""]","[""Marie King"", ""Rhonda Adams"", ""Charles Hicks"", ""Rachel Herrera"", ""Ronald Black"", ""Lisa Campbell""]",2025-09-15 07:30:44,480,"1415 E Olive Way, Seattle, WA 98112","[""FIREFIGHTER"", ""PARAMEDIC""]","[""Levi Mills"", ""Timothy Lawrence""]",35cbf197-d53d-4aa5-9d0e-23b1f3a950ad,2025-09-14 23:30:44,STATION_12,L011,LADDER 011,OVERTIME
"[""FD5953"", ""FD1459"", ""FD4088"", ""FD8321""]","[""Sandra Edwards"", ""Holly Gonzalez"", ""Krystal Gomez"", ""Steven Pittman""]",2025-09-10 06:15:45,1440,"915 Phinney Ave N, Seattle, WA 98103","[""COMPANY_OFFICER"", ""FIREFIGHTER""]","[""David Wilson"", ""Christine Davis""]",299937bd-5084-48ee-ab4b-cc84d7b5d943,2025-09-09 06:15:45,STATION_10,M010,MEDIC 010,OVERTIME
"[""FD2309"", ""FD4023"", ""FD8432""]","[""Randall Roman"", ""Douglas Acosta"", ""Leslie Bullock""]",2025-09-23 03:30:37,1440,"326 S Oregon St, Seattle, WA 98108","[""FIREFIGHTER"", ""PARAMEDIC""]","[""Chris Avila""]",d6b10894-a855-4be0-ae23-400fa42ad3ea,2025-09-22 03:30:37,STATION_5,M031,MEDIC 031,REGULAR
"[""FD1176"", ""FD1190"", ""FD7705""]","[""Emily Garcia"", ""Angela Davis"", ""Julie Ramirez""]",2025-09-23 22:56:17,720,"411 S Dawson St, Seattle, WA 98108","[""COMPANY_OFFICER""]","[""Scott Moore""]",8351a0e8-3bb5-4c3c-a599-abf4aeeec8ae,2025-09-23 10:56:17,STATION_5,A024,AID 024,OVERTIME
"[""FD4254"", ""FD3591""]","[""Phillip Delacruz"", ""Matthew Kennedy""]",2025-09-11 07:59:58,720,"2000 SW Kenyon St, Seattle, WA 98106","[""COMPANY_OFFICER"", ""FIREFIGHTER"", ""PARAMEDIC""]","[""Roy Young""]",176253c8-53ed-4658-a432-28df131a2c3e,2025-09-10 19:59:58,STATION_22,M009,MEDIC 009,REGULAR
"[""FD4625"", ""FD2832""]","[""Lisa Hoffman"", ""Rebecca Lewis""]",2025-09-10 21:46:43,720,"879 S Webster St, Seattle, WA 98108","[""FIREFIGHTER""]","[""Justin Miller""]",1c615322-51aa-4272-9a78-1c05c82e701a,2025-09-10 09:46:43,STATION_5,B002,BATTALION 002,OVERTIME
"[""FD5936"", ""FD6930"", ""FD1859"", ""FD6290""]","[""Laura Harris"", ""Robert Curtis"", ""Yvonne Todd"", ""Sara Russo""]",2025-09-12 19:46:56,480,"348 E Mercer St, Seattle, WA 98112","[""PARAMEDIC""]","[""Cheyenne Knapp""]",ce92bbd2-eb85-42f3-94ae-87b0ca74af53,2025-09-12 11:46:56,STATION_23,L026,LADDER 026,REGULAR
"[""FD6723"", ""FD3718"", ""FD7142"", ""FD3134""]","[""Erin Cohen"", ""Stuart Russell"", ""Michael Ponce"", ""Kimberly Adams""]",2025-09-25 23:49:36,1440,"837 S Oregon St, Seattle, WA 98104","[""PARAMEDIC""]","[""Deanna Turner""]",d6be11d6-906d-459d-bbd4-71e67daaaf4d,2025-09-24 23:49:36,STATION_1,L009,LADDER 009,REGULAR
"[""FD5732"", ""FD6764"", ""FD1127"", ""FD9571"", ""FD9625""]","[""Alexa Poole"", ""Zachary Reynolds"", ""Andrea Meyer"", ""Leslie Williams"", ""Donna Smith""]",2025-09-19 22:32:03,480,"254 E Mercer St, Seattle, WA 98112","[""COMPANY_OFFICER"", ""PARAMEDIC""]","[""Beth Campbell""]",805f5e07-fd2d-45bf-a0d9-ed81c9040641,2025-09-19 14:32:03,STATION_16,L010,LADDER 010,REGULAR
"[""FD7776"", ""FD1908"", ""FD9067"", ""FD3705"", ""FD9808"", ""FD9484""]","[""Douglas Daniels"", ""Adrian Jackson"", ""Jennifer Perez"", ""Bryan Velasquez"", ""Donald Velez"", ""Mary Dudley""]",2025-09-22 02:25:59,480,"1206 S Nevada St, Seattle, WA 98108","[""COMPANY_OFFICER""]","[""Melissa Cortez"", ""Chad Calhoun""]",35b05c68-dd46-491a-af75-37bb6963c458,2025-09-21 18:25:59,STATION_35,E016,ENGINE 016,OVERTIME
"[""FD4420"", ""FD5154"", ""FD8025""]","[""Aaron Mcdonald"", ""Caroline Lowery"", ""Brooke Castro""]",2025-09-20 14:27:50,720,"789 S Rose St, Seattle, WA 98108","[""COMPANY_OFFICER""]","[""Matthew Sharp""]",a344eeda-8894-48a6-ace8-44d090587028,2025-09-20 02:27:50,STATION_1,E012,ENGINE 012,OVERTIME
"[""FD9203"", ""FD1348"", ""FD8653"", ""FD2916""]","[""Jacob Gray"", ""Jennifer Johnson"", ""Kimberly Briggs"", ""Ann Booker""]",2025-09-17 00:55:26,480,"947 Burke Ave N, Seattle, WA 98103","[""FIREFIGHTER""]","[""Christian Thomas""]",1d742a96-e48d-4890-9f6e-92e48ecb88ec,2025-09-16 16:55:26,STATION_29,B019,BATTALION 019,OVERTIME
"[""FD4673"", ""FD4106"", ""FD6059"", ""FD6682"", ""FD9265""]","[""Kendra Soto"", ""Kathleen Davis"", ""Gabriella Webster"", ""Elizabeth Cooper"", ""David Hampton""]",2025-09-11 03:40:55,1440,"1252 Greenwood Ave N, Seattle, WA 98103","[""FIREFIGHTER"", ""PARAMEDIC""]","[""Kimberly Lester"", ""Kevin Mcknight""]",cec8f3f1-31b7-4447-af83-81a12dd208e0,2025-09-10 03:40:55,STATION_36,E021,ENGINE 021,OVERTIME
"[""FD3799"", ""FD3472"", ""FD7142""]","[""Rodney Moore"", ""Bradley Holder"", ""Michael Ponce""]",2025-09-05 05:46:11,600,"1389 E Roy St, Seattle, WA 98102","[""COMPANY_OFFICER"", ""PARAMEDIC""]","[""Melissa Andrade""]",49bf76d2-e8a1-4657-bfd6-86255b0d4823,2025-09-04 19:46:11,STATION_36,E001,ENGINE 001,REGULAR
"[""FD7244"", ""FD5587""]","[""Pamela Little"", ""Stephanie Logan""]",2025-09-21 05:49:01,480,"1385 S Orcas St, Seattle, WA 98104","[""PARAMEDIC""]","[""Tyler Nguyen""]",23c4a932-a5cc-4972-9941-70b7f1536737,2025-09-20 21:49:01,STATION_21,A010,AID 010,OVERTIME
"[""FD8010"", ""FD5492"", ""FD5742"", ""FD3021"", ""FD2889""]","[""Charles Taylor"", ""April Stewart"", ""Mark Foster"", ""Diana Skinner"", ""Ryan Frazier""]",2025-09-13 08:24:30,600,"940 N 40th St, Seattle, WA 98103","[""FIREFIGHTER"", ""PARAMEDIC""]","[""Rebecca Jennings"", ""Jose Brooks""]",129ac7ef-83f4-4ca9-ac45-a1691ffe6fb8,2025-09-12 22:24:30,STATION_4,L021,LADDER 021,OVERTIME
"[""FD5816"", ""FD8026"", ""FD4902"", ""FD3125""]","[""Madison Scott"", ""Stephen Smith"", ""Victor Singh"", ""Guy Martin""]",2025-09-22 01:56:31,600,"1270 1st Ave S, Seattle, WA 98104","[""PARAMEDIC""]","[""Sonya Wilson"", ""Patrick Romero""]",ff76bda6-50ac-46ac-9c7b-96ed9dd853c4,2025-09-21 15:56:31,STATION_18,B030,BATTALION 030,OVERTIME
"[""FD1908"", ""FD3205"", ""FD9596"", ""FD5826""]","[""Adrian Jackson"", ""Andrew Gonzalez"", ""Kristen Harrison"", ""Blake Bush""]",2025-09-05 15:10:30,480,"821 Seneca St, Seattle, WA 98101","[""FIREFIGHTER"", ""PARAMEDIC""]","[""Gary Miller"", ""Victoria Sheppard""]",0f69a765-5a81-477b-a28c-42d97457a2b9,2025-09-05 07:10:30,STATION_10,L018,LADDER 018,OVERTIME
"[""FD6683"", ""FD1479"", ""FD9568""]","[""Gavin Aguirre"", ""Heather Lyons"", ""Melinda Watson""]",2025-09-14 05:24:54,720,"161 University St, Seattle, WA 98101","[""FIREFIGHTER""]","[""Melissa Ewing"", ""Benjamin Smith""]",a43d3428-043a-4c8b-9492-65ff01f2ff3d,2025-09-13 17:24:54,STATION_8,B035,BATTALION 035,OVERTIME
"[""FD1843"", ""FD8699"", ""FD1263"", ""FD4183""]","[""Jamie Barnett"", ""Michael Solomon"", ""Juan Anderson"", ""Jeremy Anthony""]",2025-09-19 12:40:42,480,"864 W Newton St, Seattle, WA 98109","[""COMPANY_OFFICER"", ""FIREFIGHTER"", ""PARAMEDIC""]","[""Patrick Herman""]",aad0edcf-d36b-4ada-a70e-f12306444874,2025-09-19 04:40:42,STATION_33,B006,BATTALION 006,OVERTIME
"[""FD1001"", ""FD8262"", ""FD3446"", ""FD9513"", ""FD5650"", ""FD9277""]","[""William Kirk"", ""David Dougherty"", ""Johnny Wong"", ""Jasmine Simpson"", ""Ryan Roach"", ""Brianna Benson""]",2025-09-02 00:19:25,600,"1842 NW 56th St, Seattle, WA 98107","[""COMPANY_OFFICER"", ""FIREFIGHTER""]","[""Andrea Mora""]",4c82199d-76ef-41ce-96ca-42a6aa3f2e3c,2025-09-01 14:19:25,STATION_29,L035,LADDER 035,OVERTIME
"[""FD5994"", ""FD7124"", ""FD2170"", ""FD2258""]","[""Cristina Green"", ""Jesse Whitaker"", ""Theresa Jones"", ""Madison Rivera""]",2025-09-01 13:14:23,1440,"961 3rd Ave S, Seattle, WA 98104","[""COMPANY_OFFICER"", ""FIREFIGHTER"", ""PARAMEDIC""]","[""Daniel Smith""]",47d468f8-e2ee-4026-95d6-13e405d22f19,2025-08-31 13:14:23,STATION_37,L017,LADDER 017,OVERTIME
"[""FD5828"", ""FD5629"", ""FD8541"", ""FD3807"", ""FD4223"", ""FD9490""]","[""Heather Stephenson"", ""Nancy Noble"", ""Andrew Brown"", ""Sarah Adkins"", ""Stephanie Mcgee"", ""Lisa Campbell""]",2025-09-12 01:11:44,600,"1652 32nd Ave NW, Seattle, WA 98107","[""COMPANY_OFFICER"", ""FIREFIGHTER"", ""PARAMEDIC""]","[""Kevin Hicks"", ""Gary Wade""]",e021022e-a16c-4d16-91e3-ccc466c3a7d8,2025-09-11 15:11:44,STATION_14,E036,ENGINE 036,REGULAR
"[""FD6211"", ""FD4395""]","[""Krystal Mccormick"", ""David Martinez""]",2025-09-13 19:06:29,1440,"1855 SW Othello St, Seattle, WA 98106","[""PARAMEDIC""]","[""Jamie Kemp"", ""Bruce Welch""]",b1ebfe76-69f5-4fd5-8e42-fcae98906af2,2025-09-12 19:06:29,STATION_34,M008,MEDIC 008,REGULAR
"[""FD3370"", ""FD2553"", ""FD6339"", ""FD9517""]","[""Allison Hobbs"", ""Deborah Allen"", ""Marc Haley"", ""Michael Williams""]",2025-09-10 13:33:15,480,"221 S Irving St, Seattle, WA 98108","[""PARAMEDIC""]","[""Mark Fitzpatrick"", ""Michelle Cantrell""]",538840d6-fdc1-4dea-bfb2-4066c1462a87,2025-09-10 05:33:15,STATION_9,M020,MEDIC 020,OVERTIME
"[""FD7620"", ""FD4561""]","[""Shawn Kim"", ""Melinda Nicholson""]",2025-09-05 21:17:02,600,"579 E Roy St, Seattle, WA 98112","[""FIREFIGHTER""]","[""Vanessa Carroll""]",d5fc67df-90c9-410c-b67d-5875a7206198,2025-09-05 11:17:02,STATION_2,M034,MEDIC 034,OVERTIME
"[""FD5837"", ""FD6957"", ""FD8394""]","[""Brooke Mckay"", ""Lori Bennett"", ""John Taylor""]",2025-09-11 02:37:37,1440,"431 2nd Ave, Seattle, WA 98101","[""COMPANY_OFFICER"", ""FIREFIGHTER""]","[""Danielle Harper""]",0d5dd0d8-84e0-4377-aa80-d2c094503600,2025-09-10 02:37:37,STATION_26,B031,BATTALION 031,OVERTIME
"[""FD3718"", ""FD5356"", ""FD5212"", ""FD9124"", ""FD9405"", ""FD1320""]","[""Stuart Russell"", ""Kerry Webb"", ""Frank Khan"", ""Michael Adams"", ""Michael Williams"", ""Jason Sosa""]",2025-08-31 07:58:53,1440,"1434 S Oregon St, Seattle, WA 98104","[""PARAMEDIC""]","[""Alicia Perry"", ""Scott Wells""]",ed301245-00e5-46f1-a8e5-228fa341c355,2025-08-30 07:58:53,STATION_36,E036,ENGINE 036,REGULAR
"[""FD8595"", ""FD7804"", ""FD1058"", ""FD9902""]","[""Lori Smith"", ""George Fuller"", ""Craig Henry"", ""Charles Miller""]",2025-09-23 05:27:10,1440,"1148 Ashworth Ave N, Seattle, WA 98103","[""PARAMEDIC""]","[""Todd Garcia""]",58509c18-036b-48ac-ac5e-573ed8f24275,2025-09-22 05:27:10,STATION_12,B017,BATTALION 017,REGULAR
"[""FD9045"", ""FD5547""]","[""Joshua Perez"", ""Anthony Yates""]",2025-09-25 00:50:32,480,"788 E Madison St, Seattle, WA 98112","[""COMPANY_OFFICER"", ""FIREFIGHTER""]","[""David Davis""]",ef215a1e-7e6b-4f9b-93e8-0ead91928420,2025-09-24 16:50:32,STATION_36,B025,BATTALION 025,OVERTIME
"[""FD2439"", ""FD3136"", ""FD1366"", ""FD4591"", ""FD9907"", ""FD6612""]","[""Angela Santiago"", ""Jennifer Ross"", ""Michael Holden"", ""Matthew Ward"", ""Alan Hernandez"", ""Kathleen Dixon""]",2025-09-13 17:45:36,1440,"1108 Bagley Ave N, Seattle, WA 98103","[""COMPANY_OFFICER"", ""FIREFIGHTER""]","[""Anna Smith"", ""Kimberly Daniels""]",53fd3264-1a28-4d64-88f6-8c4c9cf70469,2025-09-12 17:45:36,STATION_16,L032,LADDER 032,REGULAR
